,Taxonomy,Count,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,DataProvider
0,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949607/*Company Size: 20-100 employees*/",5,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949607",*Company Size: 20-100 employees*,,,,,adadvisor
1,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4947864/*Owns Dell Computer*/",4,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4947864",*Owns Dell Computer*,,,,,adadvisor
2,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949606/*Company Size: 1-4 employees*/",4,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949606",*Company Size: 1-4 employees*,,,,,adadvisor
3,"25752/*180byTwo_DataDirectory*/,30867475/*180byTwo from Anteriad > B2B > Company Classifications > Small Business / SMB*/",4,25752,*180byTwo_DataDirectory*,",30867475",*180byTwo from Anteriad , B2B , Company Classifications , Small Business , SMB*/,180bytwo
4,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,40451405/*Use Laptop/Notebook/Netbook for Home Automation*/",3,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",40451405",*Use Laptop,Notebook,Netbook for Home Automation*,,,adadvisor
5,"12894/*Neustar AdAdvisor Consumer Audiences*/,6919420/*Demographics > Occupation > Occupation: Management/Business & Financial Operations*/",3,12894,*Neustar AdAdvisor Consumer Audiences*,",6919420",*Demographics , Occupation , Occupation: Management,Business & Financial Operations*,,adadvisor
6,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949659/*Business Development*/",3,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949659",*Business Development*,,,,,adadvisor
7,"44/*US States & Canadian Provinces*/,259104/*CALIFORNIA*/",2,44,*US States & Canadian Provinces*,",259104",*CALIFORNIA*,,,,,
8,"36489/*Dell*/,46185524/*Custom_114315195_DELLUSA_FY24Q1_Dell_MB_IM_Expanded*/",2,36489,*Dell*,",46185524",*Custom_114315195_DELLUSA_FY24Q1_Dell_MB_IM_Expanded*,,,,,
9,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949596/*SOHO 25- Small Office Or Home Office Businesses*/",2,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949596",*SOHO 25- Small Office Or Home Office Businesses*,,,,,adadvisor
10,"12894/*Neustar AdAdvisor Consumer Audiences*/,2996468/*Education > Highest Level of Education for Head of Household > Edu: Some Graduate School*/",2,12894,*Neustar AdAdvisor Consumer Audiences*,",2996468",*Education , Highest Level of Education for Head of Household , Edu: Some Graduate School*,,,adadvisor
11,"12894/*Neustar AdAdvisor Consumer Audiences*/,44997322/*Demographics > Presence of Children > Parent of Children Over 18-Living in Another Location*/",2,12894,*Neustar AdAdvisor Consumer Audiences*,",44997322",*Demographics , Presence of Children , Parent of Children Over 18-Living in Another Location*,,,adadvisor
12,"12894/*Neustar AdAdvisor Consumer Audiences*/,2996463/*Education > Highest Level of Education for Head of Household > Edu: College Graduate*/",2,12894,*Neustar AdAdvisor Consumer Audiences*,",2996463",*Education , Highest Level of Education for Head of Household , Edu: College Graduate*,,,adadvisor
13,"25752/*180byTwo_DataDirectory*/,44579646/*180byTwo from Anteriad > B2B Intent > Technology > Servers*/",2,25752,*180byTwo_DataDirectory*,",44579646",*180byTwo from Anteriad , B2B Intent , Technology , Servers*,,180bytwo
14,"25752/*180byTwo_DataDirectory*/,30867945/*180byTwo from Anteriad > B2C > Demographic > Education > College Graduate Degree*/",2,25752,*180byTwo_DataDirectory*,",30867945",*180byTwo from Anteriad , B2C , Demographic , Education , College Graduate Degree*/,180bytwo
15,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4948393/*Currently Full/Part-Time College Student*/",2,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4948393",*Currently Full,Part-Time College Student*,,,,adadvisor
16,"12160/*Neustar AdAdvisor - Business*/,2965410/*SMALL 8- Business Services*/",2,12160,*Neustar AdAdvisor - Business*,",2965410",*SMALL 8- Business Services*,,,,,adadvisor
17,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949545/*SMALL 10- Business Services*/",2,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949545",*SMALL 10- Business Services*,,,,,adadvisor
18,"37656/*Clickagy Public Taxonomy*/,20946444/*In-Market > Electronics > Computers > Laptops*/",2,37656,*Clickagy Public Taxonomy*,",20946444",*In-Market , Electronics , Computers , Laptops*,,clickagy
19,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4947871/*Last Computer Purchase: 2-3 Years Ago*/",2,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4947871",*Last Computer Purchase: 2-3 Years Ago*,,,,,adadvisor
20,"12894/*Neustar AdAdvisor Consumer Audiences*/,2997575/*Technology & Computing > Computer Brand > Home PC-Brand HH Most Recently Acquired-Dell*/",2,12894,*Neustar AdAdvisor Consumer Audiences*,",2997575",*Technology & Computing , Computer Brand , Home PC-Brand HH Most Recently Acquired-Dell*,,,adadvisor
21,"25752/*180byTwo_DataDirectory*/,30867528/*180byTwo from Anteriad > B2B > Decision Makers > Information Technology / IT Decision Makers*/",2,25752,*180byTwo_DataDirectory*,",30867528",*180byTwo from Anteriad , B2B , Decision Makers , Information Technology , IT Decision Makers*/,180bytwo
22,"23985/*33Across Taxonomy*/,8999907/*Games*/",2,23985,*33Across Taxonomy*,",8999907",*Games*,,,,,33across
23,"33271/*Adstra Data Directory Taxonomy*/,12816239/*B2B_100222*/",2,33271,*Adstra Data Directory Taxonomy*,",12816239",*B2B_100222*,,,,,
24,"25752/*180byTwo_DataDirectory*/,30867922/*180byTwo from Anteriad > B2B > Job Seniority > C: Director*/",2,25752,*180byTwo_DataDirectory*,",30867922",*180byTwo from Anteriad , B2B , Job Seniority , C: Director*,,180bytwo
25,"25752/*180byTwo_DataDirectory*/,30867923/*180byTwo from Anteriad > B2B > Job Seniority > D: Manager*/",2,25752,*180byTwo_DataDirectory*,",30867923",*180byTwo from Anteriad , B2B , Job Seniority , D: Manager*,,180bytwo
26,"25752/*180byTwo_DataDirectory*/,30867925/*180byTwo from Anteriad > B2B > Job Seniority > B: Vice President*/",2,25752,*180byTwo_DataDirectory*,",30867925",*180byTwo from Anteriad , B2B , Job Seniority , B: Vice President*,,180bytwo
27,"14007/*Neustar AdAdvisor - Individual Age Group*/,6942737/*30-34*/",1,14007,*Neustar AdAdvisor - Individual Age Group*,",6942737",*30-34*,,,,,adadvisor
28,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4947508/*Frozen Complete Dinner-Marie Calendar's*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4947508",*Frozen Complete Dinner-Marie Calendar's*,,,,,adadvisor
29,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4946619/*I Like To Have A Lot Of Gadgets*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4946619",*I Like To Have A Lot Of Gadgets*,,,,,adadvisor
30,"25752/*180byTwo_DataDirectory*/,30867983/*180byTwo from Anteriad > B2C > Demographic > Finances > Charitable Donors > Humanitarian Causes*/",1,25752,*180byTwo_DataDirectory*,",30867983",*180byTwo from Anteriad , B2C , Demographic , Finances , Charitable Donors > Humanitarian Causes*/,180bytwo
31,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,29074905/*I Rely On The Internet To Communicate*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",29074905",*I Rely On The Internet To Communicate*,,,,,adadvisor
32,"33271/*Adstra Data Directory Taxonomy*/,12815385/*CONS_100002*/",1,33271,*Adstra Data Directory Taxonomy*,",12815385",*CONS_100002*,,,,,
33,"14007/*Neustar AdAdvisor - Individual Age Group*/,6942735/*20-24*/",1,14007,*Neustar AdAdvisor - Individual Age Group*,",6942735",*20-24*,,,,,adadvisor
34,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,40451524/*Online Access-Work-Mobile Broadband(i.e. For Tablet,Cellphone)*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",40451524","*Online Access-Work-Mobile Broadband(i.e. For Tablet,Cellphone)*",,,,,adadvisor
35,"25752/*180byTwo_DataDirectory*/,30868067/*180byTwo from Anteriad > B2C > Demographic > Generations > Gen Y / Millennials*/",1,25752,*180byTwo_DataDirectory*,",30868067",*180byTwo from Anteriad , B2C , Demographic , Generations , Gen Y / Millennials*/,180bytwo
36,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949605/*Company Size: 100-500 employees*/",1,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949605",*Company Size: 100-500 employees*,,,,,adadvisor
37,"33271/*Adstra Data Directory Taxonomy*/,12815417/*CONS_100033*/",1,33271,*Adstra Data Directory Taxonomy*,",12815417",*CONS_100033*,,,,,
38,"14007/*Neustar AdAdvisor - Individual Age Group*/,6942736/*25-29*/",1,14007,*Neustar AdAdvisor - Individual Age Group*,",6942736",*25-29*,,,,,adadvisor
39,"36/*Datonics Segments*/,45167711/*Electronics > Computers > Lenovo*/",1,36,*Datonics Segments*,",45167711",*Electronics , Computers , Lenovo*,,,
40,"14007/*Neustar AdAdvisor - Individual Age Group*/,6942734/*18-19*/",1,14007,*Neustar AdAdvisor - Individual Age Group*,",6942734",*18-19*,,,,,adadvisor
41,"31561/*Webbula Data Directory*/,38852683/*Interest > Charitable Donations > Humanitarian*/",1,31561,*Webbula Data Directory*,",38852683",*Interest , Charitable Donations , Humanitarian*,,,webbula
42,"25752/*180byTwo_DataDirectory*/,44580469/*180byTwo from Anteriad > B2B Intent > Energy, Construction & Manufacturing > Energy > Climate-Smart Agriculture*/",1,25752,*180byTwo_DataDirectory*,",44580469",*180byTwo from Anteriad , B2B Intent ," Energy, Construction & Manufacturing ", Energy , Climate-Smart Agriculture*/,180bytwo
43,"36/*Datonics Segments*/,45167710/*Electronics > Computers > HP*/",1,36,*Datonics Segments*,",45167710",*Electronics , Computers , HP*,,,
44,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,9774572/*HH Own Any LENOVO*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",9774572",*HH Own Any LENOVO*,,,,,adadvisor
45,"26303/*Alliant DD Taxonomy*/,4931588/*Digital Purchasing Parents*/",1,26303,*Alliant DD Taxonomy*,",4931588",*Digital Purchasing Parents*,,,,,
46,"33271/*Adstra Data Directory Taxonomy*/,12815386/*CONS_100003*/",1,33271,*Adstra Data Directory Taxonomy*,",12815386",*CONS_100003*,,,,,
47,"30646/*Clickagy Data Directory*/,20946263/*Demographics > Generation > Generation X*/",1,30646,*Clickagy Data Directory*,",20946263",*Demographics , Generation , Generation X*,,,clickagy
48,"33271/*Adstra Data Directory Taxonomy*/,12815600/*WW_100055*/",1,33271,*Adstra Data Directory Taxonomy*,",12815600",*WW_100055*,,,,,
49,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,9774509/*Likely to Buy From Company Donating to Charity*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",9774509",*Likely to Buy From Company Donating to Charity*,,,,,adadvisor
50,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4948078/*Play Video Games Connected to Internet*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4948078",*Play Video Games Connected to Internet*,,,,,adadvisor
51,"33271/*Adstra Data Directory Taxonomy*/,34734083/*CG_100071*/",1,33271,*Adstra Data Directory Taxonomy*,",34734083",*CG_100071*,,,,,
52,"25752/*180byTwo_DataDirectory*/,30867972/*180byTwo from Anteriad > B2C > Demographic > Family > Parents*/",1,25752,*180byTwo_DataDirectory*,",30867972",*180byTwo from Anteriad , B2C , Demographic , Family , Parents*/,180bytwo
53,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,29074884/*Made a Charitable Donation - Over $50 in the Last 12 Months*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",29074884",*Made a Charitable Donation - Over $50 in the Last 12 Months*,,,,,adadvisor
54,"33280/*Neustar AdAdvisor Identity Planner Audiences - ElementOne*/,4947189/*High Income Established Families*/",1,33280,*Neustar AdAdvisor Identity Planner Audiences - ElementOne*,",4947189",*High Income Established Families*,,,,,adadvisor
55,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4948081/*Plays Action/Adventure Video Games Most*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4948081",*Plays Action,Adventure Video Games Most*,,,,adadvisor
56,"12160/*Neustar AdAdvisor - Business*/,2965207/*Company Size: 500+ employees*/",1,12160,*Neustar AdAdvisor - Business*,",2965207",*Company Size: 500+ employees*,,,,,adadvisor
57,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4948020/*HH Subscribes to Cable TV*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4948020",*HH Subscribes to Cable TV*,,,,,adadvisor
58,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4948443/*Saw Drama Movies*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4948443",*Saw Drama Movies*,,,,,adadvisor
59,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,29074797/*Watch Network TV Primetime-Comedy*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",29074797",*Watch Network TV Primetime-Comedy*,,,,,adadvisor
60,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949609/*Company Size: 5-19 employees*/",1,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949609",*Company Size: 5-19 employees*,,,,,adadvisor
61,"36489/*Dell*/,46195123/*Control_dfc6vuk7tkj*/",1,36489,*Dell*,",46195123",*Control_dfc6vuk7tkj*,,,,,
62,"36489/*Dell*/,46195122/*Test_dcksi8jk3dk*/",1,36489,*Dell*,",46195122",*Test_dcksi8jk3dk*,,,,,
63,"36489/*Dell*/,46158501/*B2B Business Unit Segment*/",1,36489,*Dell*,",46158501",*B2B Business Unit Segment*,,,,,
64,"25752/*180byTwo_DataDirectory*/,30867516/*180byTwo from Anteriad > B2B > Decision Makers*/",1,25752,*180byTwo_DataDirectory*,",30867516",*180byTwo from Anteriad , B2B , Decision Makers*,,,180bytwo
65,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4947845/*Uses Games Apps on Smartphone*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4947845",*Uses Games Apps on Smartphone*,,,,,adadvisor
66,"25752/*180byTwo_DataDirectory*/,30866833/*180byTwo from Anteriad > ABM > Top Companies > IBM*/",1,25752,*180byTwo_DataDirectory*,",30866833",*180byTwo from Anteriad , ABM , Top Companies , IBM*,,180bytwo
67,"25752/*180byTwo_DataDirectory*/,30866846/*180byTwo from Anteriad > ABM > Top Companies > Intel*/",1,25752,*180byTwo_DataDirectory*,",30866846",*180byTwo from Anteriad , ABM , Top Companies , Intel*,,180bytwo
68,"37656/*Clickagy Public Taxonomy*/,20946441/*In-Market > Electronics > Computers > Desktops*/",1,37656,*Clickagy Public Taxonomy*,",20946441",*In-Market , Electronics , Computers , Desktops*,,clickagy
69,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4947862/*Owns Apple Computer*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4947862",*Owns Apple Computer*,,,,,adadvisor
70,"36489/*Dell*/,45101641/*Test Segment*/",1,36489,*Dell*,",45101641",*Test Segment*,,,,,
71,"12160/*Neustar AdAdvisor - Business*/,2965213/*Small office or Home office Business Owners*/",1,12160,*Neustar AdAdvisor - Business*,",2965213",*Small office or Home office Business Owners*,,,,,adadvisor
72,"12160/*Neustar AdAdvisor - Business*/,2965252/*SOHO 2- Real Estate Services*/",1,12160,*Neustar AdAdvisor - Business*,",2965252",*SOHO 2- Real Estate Services*,,,,,adadvisor
73,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,29074802/*I Often Go on Long Car Trips for Vacation*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",29074802",*I Often Go on Long Car Trips for Vacation*,,,,,adadvisor
74,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,29074643/*Ads Help Me Pick Products For My Kids*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",29074643",*Ads Help Me Pick Products For My Kids*,,,,,adadvisor
75,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,9774476/*Payment Methods for Leisure Travel:Online Bill Pay*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",9774476",*Payment Methods for Leisure Travel:Online Bill Pay*,,,,,adadvisor
76,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949619/*Scientists and Researchers*/",1,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949619",*Scientists and Researchers*,,,,,adadvisor
77,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,7374172/*Own or Play Video Games*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",7374172",*Own or Play Video Games*,,,,,adadvisor
78,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,9774557/*Internet Video/Music/Tv Set-Brands Owned:Video Game System*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",9774557",*Internet Video,Music,Tv Set-Brands Owned:Video Game System*,,,adadvisor
79,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,29074749/*Watch Network TV Primetime-Game Show/Contest*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",29074749",*Watch Network TV Primetime-Game Show,Contest*,,,,adadvisor
80,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,29074807/*I Need Games On Computer with Top Line Graphics*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",29074807",*I Need Games On Computer with Top Line Graphics*,,,,,adadvisor
81,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949610/*Small office or Home office Business Owners*/",1,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949610",*Small office or Home office Business Owners*,,,,,adadvisor
82,"33495/*Reklaim Data Directory Taxonomy*/,43425287/*Reklaim > Demographic > Age > 18-54*/",1,33495,*Reklaim Data Directory Taxonomy*,",43425287",*Reklaim , Demographic , Age , 18-54*,,
83,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4946616/*I Try Keep Up/Developments in Technology*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4946616",*I Try Keep Up,Developments in Technology*,,,,adadvisor
84,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,33447037/*HH Uses Home Automation(Controlling Home From Anywhere)*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",33447037",*HH Uses Home Automation(Controlling Home From Anywhere)*,,,,,adadvisor
85,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949572/*SMALL 35- Small Businesses*/",1,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949572",*SMALL 35- Small Businesses*,,,,,adadvisor
86,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949581/*SOHO 11- Business Services*/",1,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949581",*SOHO 11- Business Services*,,,,,adadvisor
87,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949665/*IT Decision Maker*/",1,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949665",*IT Decision Maker*,,,,,adadvisor
88,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,29074767/*Business Purchase Decision-Involved ($500k+) in the Last 12 Months*/",1,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",29074767",*Business Purchase Decision-Involved ($500k+) in the Last 12 Months*,,,,,adadvisor
