Global Country (Calc),Global Audience Type (Calc),Display Funnel Mapped,Global Tactic V2 B2B (Calc),LOB,Display Business Unit Mapped,Display Funnel Mapped,Audience Type,Actual Spend (GCSB) (Calc),LC True Revenue BQ (GCSB) (Calc)
United States,1PD,Active Prospects,DEMAND,B2B,Client Solutions Group,Active Prospects,RETARGET-1PD-RETARGET,0.0,0.0
United States,1PD,Active Prospects,ENGAGEMENT,B2B,Client Solutions Group,Active Prospects,CRM-1PD-CRM,0.0,0.0
United States,1PD,Active Prospects,ENGAGEMENT,B2B,Commercial,Active Prospects,CRM-1PD-CRM,128449.9,106192.84
United States,1PD,Active Prospects,ENGAGEMENT,B2B,Commercial,Active Prospects,RETARGET-1PD-RETARGET,204397.54,617788.35
United States,1PD,Active Prospects,ENGAGEMENT,B2B,Infrastructure Solutions Group,Active Prospects,CRM-1PD-CRM,0.0,0.0
United States,1PD,Active Prospects,ENGAGEMENT,B2B,Infrastructure Solutions Group,Active Prospects,RETARGET-1PD-RETARGET,0.0,0.0
United States,1PD,Active Prospects,ENGAGEMENT,B2B,Medium Business,Active Prospects,CRM-1PD-CRM,82565.24,114349.32
United States,1PD,Active Prospects,ENGAGEMENT,B2B,Medium Business,Active Prospects,MEDIA-1PD-MEDIA,0.0,0.0
United States,1PD,Active Prospects,ENGAGEMENT,B2B,Medium Business,Active Prospects,RETARGET-1PD-RETARGET,76781.98,324712.28
United States,1PD,Active Prospects,ENGAGEMENT,CSB,Other,Active Prospects,CRM-1PD-CRM,0.0,0.0
United States,1PD,Active Prospects,PROSPECTING,B2B,Dell Tech Concierge,Active Prospects,RETARGET-1PD-RETARGET,0.0,3099.94
United States,1PD,Active Prospects,PROSPECTING,CSB,Consumer,Active Prospects,RETARGET-1PD-RETARGET,0.0,0.0
United States,1PD,Active Prospects,PROSPECTING,CSB,Consumer Small Business,Active Prospects,CRM-1PD-CRM,0.0,0.0
United States,1PD,Active Prospects,PROSPECTING,CSB,Consumer Small Business,Active Prospects,RETARGET-1PD-RETARGET,0.0,311462.31
United States,1PD,Active Prospects,PROSPECTING,CSB,Gaming,Active Prospects,CRM-1PD-CRM,0.0,0.0
United States,1PD,Active Prospects,PROSPECTING,CSB,Gaming,Active Prospects,LAPSED-1PD-PIXEL,0.0,0.0
United States,1PD,Active Prospects,PROSPECTING,CSB,Member Purchase Program,Active Prospects,RETARGET-1PD-RETARGET,0.0,0.0
United States,1PD,Active Prospects,PROSPECTING,CSB,Other,Active Prospects,CRM-1PD-CRM,334915.14,1001159.4
United States,1PD,Active Prospects,PROSPECTING,CSB,Other,Active Prospects,EMAIL-1PD-CRM,81186.37,507220.64
United States,1PD,Active Prospects,PROSPECTING,CSB,Other,Active Prospects,LAPSED-1PD-PIXEL,1383.76,4801.52
United States,1PD,Active Prospects,PROSPECTING,CSB,Other,Active Prospects,PERSONA-1PD-RETARGET,419435.08999999997,46014.03
United States,1PD,Active Prospects,PROSPECTING,CSB,Other,Active Prospects,RETARGET-1PD-RETARGET,336264.51,4499842.6
United States,1PD,Active Prospects,PROSPECTING,CSB,Small Business,Active Prospects,CRM-1PD-CRM,0.0,0.0
United States,1PD,Active Prospects,PROSPECTING,CSB,Small Business,Active Prospects,RETARGET-1PD-RETARGET,0.0,1009610.98
United States,1PD,Active Prospects,RETARGETING,CSB,Gaming,Active Prospects,RETARGET-1PD-RETARGET,0.0,0.0
United States,1PD,Active Prospects,RETARGETING,CSB,Other,Active Prospects,RETARGET-1PD-RETARGET,365568.96,4537926.81
United States,1PD,Active Prospects,RETARGETING DCO,CSB,Gaming,Active Prospects,RETARGET-1PD-RETARGET,0.0,0.0
United States,1PD,Brand Seeker/Purchasers,DEMAND,B2B,Commercial,Brand Seeker/Purchasers,RETARGET-1PD-RETARGET,0.0,0.0
United States,1PD,Brand Seeker/Purchasers,ENGAGEMENT,B2B,Commercial,Brand Seeker/Purchasers,CRM-1PD-CRM,0.0,0.0
United States,1PD,Brand Seeker/Purchasers,ENGAGEMENT,B2B,Commercial,Brand Seeker/Purchasers,RETARGET-1PD-RETARGET,126291.56999999999,2003579.41
United States,1PD,Brand Seeker/Purchasers,ENGAGEMENT,B2B,Medium Business,Brand Seeker/Purchasers,CRM-1PD-CRM,0.0,0.0
United States,1PD,Brand Seeker/Purchasers,ENGAGEMENT,B2B,Medium Business,Brand Seeker/Purchasers,RETARGET-1PD-RETARGET,150778.44,3396956.29
United States,1PD,Brand Seeker/Purchasers,RETARGETING,CSB,Consumer,Brand Seeker/Purchasers,RETARGET-1PD-RETARGET,0.0,40173.41
United States,1PD,Brand Seeker/Purchasers,RETARGETING,CSB,Consumer Small Business,Brand Seeker/Purchasers,CRM-1PD-CRM,0.0,0.0
United States,1PD,Brand Seeker/Purchasers,RETARGETING,CSB,Consumer Small Business,Brand Seeker/Purchasers,RETARGET-1PD-RETARGET,0.0,1242605.91
United States,1PD,Brand Seeker/Purchasers,RETARGETING,CSB,Member Purchase Program,Brand Seeker/Purchasers,RETARGET-1PD-RETARGET,0.0,0.0
United States,1PD,Brand Seeker/Purchasers,RETARGETING,CSB,Other,Brand Seeker/Purchasers,PERSONA-1PD-RETARGET,3110789.92,725246.82
United States,1PD,Brand Seeker/Purchasers,RETARGETING,CSB,Other,Brand Seeker/Purchasers,RETARGET-1PD-RETARGET,3108042.11,47682866.34
United States,1PD,Brand Seeker/Purchasers,RETARGETING,CSB,Small Business,Brand Seeker/Purchasers,RETARGET-1PD-RETARGET,0.0,289949.05
United States,1PD,Brand Seeker/Purchasers,RETARGETING-TXL,B2B,Commercial,Brand Seeker/Purchasers,RETARGET-1PD-RETARGET,1263540.64,68113573.77
United States,1PD,Brand Seeker/Purchasers,RETARGETING-TXL,B2B,Medium Business,Brand Seeker/Purchasers,RETARGET-1PD-RETARGET,2282306.2,144807586.25
United States,1PD,Demand Creation,AWARENESS,B2B,Dell Tech Concierge,Demand Creation,MEDIA-1PD-MEDIA,0.0,0.0
United States,1PD,Demand Creation,AWARENESS,B2B,Medium Business,Demand Creation,CRM-1PD-CRM,0.0,0.0
United States,1PD,Demand Creation,BRAND,B2B,Dell Tech Concierge,Demand Creation,MEDIA-1PD-MEDIA,0.0,47952.38
United States,1PD,Demand Creation,BRAND,B2B,Dell Tech Concierge,Demand Creation,RETARGET-1PD-RETARGET,0.0,2233.4900000000002
United States,1PD,Demand Creation,BRAND,CSB,Other,Demand Creation,CRM-1PD-CRM,0.0,35658.65
United States,1PD,Demand Creation,ENGAGEMENT,B2B,Commercial,Demand Creation,CRM-1PD-CRM,31753.56,0.0
United States,1PD,Demand Creation,ENGAGEMENT,B2B,Commercial,Demand Creation,RETARGET-1PD-RETARGET,21660.77,148048.8
United States,1PD,Demand Creation,ENGAGEMENT,B2B,Medium Business,Demand Creation,CRM-1PD-CRM,12287.26,2272.09
United States,1PD,Demand Creation,ENGAGEMENT,B2B,Medium Business,Demand Creation,RETARGET-1PD-RETARGET,14524.75,8383.17
United States,1PD,Lead Gen,PROSPECTING,CSB,Other,Lead Gen,CRM-1PD-CRM,67631.28,385207.23000000004
United States,1PD,Lead Gen,PROSPECTING,CSB,Other,Lead Gen,RETARGET-1PD-RETARGET,0.0,0.0
United States,1PD,Passive Prospects,BRAND,CSB,Other,Passive Prospects,MEDIA-1PD-MEDIA,73184.9,230690.61000000002
United States,1PD,Passive Prospects,BRAND,CSB,Other,Passive Prospects,RETARGET-1PD-RETARGET,8155.4,1647566.05
United States,1PD,Passive Prospects,PROSPECTING,CSB,Other,Passive Prospects,RETARGET-1PD-RETARGET,166.23,0.0
United States,2PD,Active Prospects,ENGAGEMENT,B2B,Commercial,Active Prospects,ABM-2PD-AUDIENCE,73953.72,4525.26
United States,2PD,Active Prospects,ENGAGEMENT,B2B,Commercial,Active Prospects,KCT-2PD-CONTEXTUAL,3627.96,2388.34
United States,2PD,Active Prospects,ENGAGEMENT,B2B,Infrastructure Solutions Group,Active Prospects,ABM-2PD-AUDIENCE,0.0,0.0
United States,2PD,Active Prospects,ENGAGEMENT,B2B,Medium Business,Active Prospects,ABM-2PD-AUDIENCE,33899.25,56953.35
United States,2PD,Active Prospects,PROSPECTING-TXL,B2B,Commercial,Active Prospects,ABM-2PD-AUDIENCE,0.0,0.0
United States,2PD,Active Prospects,PROSPECTING-TXL,B2B,Commercial,Active Prospects,DMP-2PD-AUDIENCE,0.0,0.0
United States,2PD,Demand Creation,AWARENESS,B2B,Dell Tech Concierge,Demand Creation,PUBLISHER-2PD,0.0,0.0
United States,2PD,Demand Creation,BRAND,B2B,Dell Tech Concierge,Demand Creation,PUBLISHER-2PD,0.0,663.6
United States,2PD,Demand Creation,ENGAGEMENT,B2B,Commercial,Demand Creation,ABM-2PD-AUDIENCE,19110.65,345.15
United States,2PD,Demand Creation,ENGAGEMENT,B2B,Medium Business,Demand Creation,ABM-2PD-AUDIENCE,12529.15,118.99
United States,3PD,Active Prospects,DEMAND,B2B,Client Solutions Group,Active Prospects,CATEGORY-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Active Prospects,DEMAND,B2B,Medium Business,Active Prospects,CATEGORY-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Client Solutions Group,Active Prospects,AFFINITY-3PD-BEHAVIOR,0.0,0.0
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Client Solutions Group,Active Prospects,CATEGORY-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Client Solutions Group,Active Prospects,DMP-3PD-LAL,0.0,0.0
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Client Solutions Group,Active Prospects,IN-MARKET-3PD-BEHAVIOR,0.0,0.0
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Client Solutions Group,Active Prospects,KCT-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Commercial,Active Prospects,ABM-3PD-AUDIENCE,123222.1,319257.56
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Commercial,Active Prospects,AFFINITY-3PD-BEHAVIOR,118490.76,1783.0
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Commercial,Active Prospects,CATEGORY-3PD-CONTEXTUAL,1364144.57,30326965.84
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Commercial,Active Prospects,DMP-3PD-AUDIENCE,151403.07,639407.0700000001
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Commercial,Active Prospects,IN-MARKET-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Commercial,Active Prospects,KCT-3PD-CONTEXTUAL,50920.4,32572.1
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Commercial,Active Prospects,MEDIA-3PD-RETARGET-EXPOSED,0.0,33272.049999999996
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Infrastructure Solutions Group,Active Prospects,AFFINITY-3PD-BEHAVIOR,0.0,0.0
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Infrastructure Solutions Group,Active Prospects,CATEGORY-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Infrastructure Solutions Group,Active Prospects,DMP-3PD-AUDIENCE,0.0,0.0
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Infrastructure Solutions Group,Active Prospects,IN-MARKET-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Infrastructure Solutions Group,Active Prospects,KCT-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Medium Business,Active Prospects,ABM-3PD-AUDIENCE,92872.0,277981.82
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Medium Business,Active Prospects,AFFINITY-3PD-BEHAVIOR,160639.06,175.15
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Medium Business,Active Prospects,CATEGORY-3PD-CONTEXTUAL,1172834.39,38137652.03
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Medium Business,Active Prospects,DMP-3PD-AUDIENCE,179908.55,689730.6900000001
United States,3PD,Active Prospects,ENGAGEMENT,B2B,Medium Business,Active Prospects,DMP-3PD-LAL,0.0,1054706.36
United States,3PD,Active Prospects,ENGAGEMENT,CSB,Other,Active Prospects,CATEGORY-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Active Prospects,ENGAGEMENT,CSB,Other,Active Prospects,IN-MARKET-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,B2B,Dell Tech Concierge,Active Prospects,KCT-3PD-CONTEXTUAL,0.0,10708.949999999999
United States,3PD,Active Prospects,PROSPECTING,B2B,Dell Tech Concierge,Active Prospects,PIXEL-3PD-LAL,0.0,71.99
United States,3PD,Active Prospects,PROSPECTING,CSB,Alienware,Active Prospects,AFFINITY-3PD-BEHAVIOR,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Consumer,Active Prospects,AFFINITY-3PD-BEHAVIOR,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Consumer,Active Prospects,IN-MARKET-3PD-BEHAVIOR,0.0,3179.26
United States,3PD,Active Prospects,PROSPECTING,CSB,Consumer,Active Prospects,IN-MARKET-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Consumer,Active Prospects,PIXEL-3PD-LAL,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Consumer Small Business,Active Prospects,AFFINITY-3PD-BEHAVIOR,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Consumer Small Business,Active Prospects,DMP-3PD-AUDIENCE,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Consumer Small Business,Active Prospects,IN-MARKET-3PD-BEHAVIOR,0.0,234719.81
United States,3PD,Active Prospects,PROSPECTING,CSB,Consumer Small Business,Active Prospects,IN-MARKET-3PD-CONTEXTUAL,0.0,624.99
United States,3PD,Active Prospects,PROSPECTING,CSB,Consumer Small Business,Active Prospects,PIXEL-3PD-LAL,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Gaming,Active Prospects,AFFINITY-3PD-BEHAVIOR,0.0,1722.29
United States,3PD,Active Prospects,PROSPECTING,CSB,Gaming,Active Prospects,CATEGORY-3PD-CONTEXTUAL,0.0,6161.78
United States,3PD,Active Prospects,PROSPECTING,CSB,Gaming,Active Prospects,DMP-3PD-AUDIENCE,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Gaming,Active Prospects,DMP-3PD-LAL,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Gaming,Active Prospects,IN-MARKET-3PD-CONTEXTUAL,0.0,65203.79
United States,3PD,Active Prospects,PROSPECTING,CSB,Gaming,Active Prospects,KCT-3PD-CONTEXTUAL,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Member Purchase Program,Active Prospects,AFFINITY-3PD-BEHAVIOR,0.0,0.0
United States,3PD,Active Prospects,PROSPECTING,CSB,Other,Active Prospects,AFFINITY-3PD-BEHAVIOR,2592585.15,21827058.16
