,Audience Composition
,445
Floodlight Retargeting,325
Retargeting Audiences,86
Inmarket audience,53
Floodlight Converter LAL,15
Gaming affinity audience,12
Additional Audience for CSB,11
Small business audience overlapped with PC Interested In-Market Audience,11
"KWs relevant to computers, competitor brands, Dell products",9
"KWs relevant to computers, small business, Dell products",9
Income Type Audience overlapped with PC Interested In-Market Audience,8
Dell Branded List,8
ITDMs,8
Category Audience,7
Moving related audience overlapped with PC Interested In-Market Audience,7
High Value Engagement Look A LIke,6
Custom List Audience which is created by using the interest of Customers,6
Gaming Category audience,6
Pixel Retargeting,6
Dell Development,6
Custom Affinity,6
Category Laptops Retargeting,4
Category Desktops Retargeting,4
Product Config Retargeting,4
Homepage Retargeting,4
Category Servers Retargeting,4
Family Retargeting,4
CSB Sales RTG,4
Category Workstations Retargeting,4
Dell Reactivation Test,4
SB Sales Retargeting,4
Basket Floodlight Retargeting,4
Basket Retargeting,4
SBDMs,4
Category Retargeting,4
Deals Retargeting,4
Home Floodlight Retargeting,3
SBDMs+High Spenders,3
Business Professionals; High-End Computer Aficionados; Cloud Services Power Users; Technophiles,3
Computers & Electronics; Business & Industrial; Small Business; Buesiness News,3
LiveRamp Data Store > Gravy > B2B > Small Business Expo (All users),3
Computers; Laptops & Notebooks; Computers & Peripherals; Desktop Computers; Computer Monitors; Computer Accessories & Components; Consumer Electronics,3
High-End Computer Aficionados; Technophiles; Technology,3
Computers & Electronics; Technology News; Computer Science,3
"SB Interests/Behaviors: Entrepreneurship, Small Business - Job Titles",3
Keyword Audience,3
Content Retargeting Audiences who already have visited the Websites,3
Dell director-level & above,3
Dell Unbranded Keywords,3
SBDM+In Market for Laptops,3
Product Floodlight Retargeting,3
Small Businesses+Home Offices,3
"dell 5680
inspiron 5680
alineware
alienware monitor
dell alienware aurora
aleinware
alian ware
gaming pc
inspiron gaming desktop
dell gaming computer
alienware r7
dell g5 15 gaming
dell alienware
alienware laptop
dell g7 17
alienware gaming laptop
area 51m alienware
dell area 51m
alienware computers
alienware 51m
alienware m17
NVIDIA 2080
alieware
alienware desktops
dell gaming computers
allenware
dell g7 17 gaming laptop
dell 7790
alianware
dell g3 15 gaming laptop
area 51 alienware
allienware
dell gaming desktop
alienware laptops
dell gaming laptops
dell gaming laptop
dell g7 15 gaming
dell alienware 51m",3
"best gaming laptop
cheapest laptop for gaming
gaming accessories
gaming laptops under 500
gamers desktop
i7 gaming computer
best cheap gaming laptop
pre built gaming pc
cheap gaming pc
gaming amplifier
best budget gaming laptop
build a gaming pc
gaming machine
lightest gaming laptop
best 1440p gaming monitor
best gaming desktop
best gaming laptop under 1000
gaming monitor 144hz
tv gaming monitor
g3
g5
g sync monitor
g7
game computer
g series
game pc
gaming headphones
gaming laptops price
best gamer laptop
best gaming computer
gamer computers
gaming pc
g5 laptop
g3 laptop
gaming computer
g7 laptop
gaming laptop
pc gamer
4k gaming monitor
g7 series
best budget gaming pc
gaming laptop deals
gaming keyboard and mouse
g5 series
gaming mouse
finance gaming laptops
gaming headsets
gaming keyboard
good gaming laptop
gaming headset
gaming computers
custom gaming pc builder
gaming pcs for sale
gaming desktop
prebuilt gaming pc
good pc for gaming",3
"MSI
HP gaming desktop
HP Gaming laptop
Asus gaming laptop
Asus ROG gaming laptop
Asus Gaming
Razer
Lenovo legion laptop
HP omen laptop
benq gaming monitor
cyberpower gaming pc
intel core i5
Lenovo legion",3
Category Workstation Floodlight Retargeting,3
Category Servers Floodlight Retargeting,3
Category Desktop Floodlight Retargeting,3
Campaign Floodlight Retargeting,3
Category Floodlight Retargeting,3
Deal Floodlight Retargeting,3
Family Floodlight Retargeting,3
Category Laptop Floodlight Retargeting,3
Business Services; CRM Solutions; Network & Enterprise Security; Business Financial Services; Office Supplies; Enterprise Software; Hosted Data & Cloud Storage; Network Equipment & Virtualization; Business & Productivity Software,3
Consumer sites with historically strong performance,3
Dell Competitor List,3
Unbranded List,3
Harte Hanks Storage,2
CTV Ad Exposure Retargeting,2
OLV Ad Exposure Retarging,2
Custom Intent audience created to target audience inmarket for M18,2
Keyword audience,2
1st Party CRM Converter LAL,2
1PD Purchase Intent,2
"Interests: Gaming, Games. PC Gamer",2
1PD PC Buyer,2
Harte Hanks Server Storage,2
Gaming Fanatics,2
Individuals who were born in the Millenials generation.,2
Gamers,2
"Individuals who are high income parents. Based on surveys, online/purchase activity, and social media data.",2
"Individuals who have Recently Graduated. These individuals have either an Associate's Degree, Bachelor's Degree, Master's Degree, or a Doctorate Degree like a PhD.",2
Enterprise Software,2
Hardcore Gamers,2
Harte Hanks Servers,2
Pixel Converter LAL,2
In Market for Network Equipment & Virtualization,2
DV Dell Branded,2
Gen Xers,2
Job Seniorities: Management level roles. Small business size (2-200 employees). Custom Segments: Mass Afluent & Technology,2
Job Titles: IT job-related titles. Small business size (2-200 employees).,2
Data & Cloud Storage,2
ISG Affinity,2
Development,1
CRM,1
IT interest signals; co size 500+,1
500+ companies with high IT spend power/IT budget,1
CE Core IM audience BDMs/ITDMs,1
Dell Competitor Conquesting,1
"HP probook
acer chromebook
asus vivobook
Microsoft Surface
acer vero
HP
lenovo thinkbook
acer swift
asus laptops
acer predator
HP laptop sale
lenovo laptops
asus laptop
HP ideapad laptops
HP elitebook
Lenovo
acer
lenovo laptop
HP pavillion laptops
acer travelmate
Asus
lenovo laptop sale
asus zenbook i5
HP laptops
acer laptop
Chromebook Tab 510",1
"business desktop
15 laptop
all in one pc
top 10 best laptop computers
17 laptop
i7 processor
laptop
solid state drive pc
desktop computer
2 in 1 convertible laptops
best compact laptops
projector screen
top laptop
best laptop computer
projector
wireless printer
all in one desktop computer
business desktop computers
scanner
high performance laptop
docking station
desktop pc
desktop sales
printer
office computer
intel
top 10 laptops
best laptop brand
laptop ratings
small desktop pc
pc sales
curved monitor
work station
linux laptop
2 in 1 laptop
best laptop for business
mobile workstation
best laptop sale
desktop tower
business laptop deals
laptop for office
computer for small business
fast laptop
upgrade to windows 10 from windows 7
custom desktop computer
best small laptop
laptop solid state drive
computer
kvm switch
small business laptops
upgrade to windows 10 pro
desktop computers windows 10
intel core i7
solid state drive laptops
intel core i9
ultrathin laptop
2 in 1
2 1 laptops
kvm
laptops for sale
pc laptops
laptop docking station
laptop performance
laptop sales
upgrade to windows 10
work stations
computer workstations
windows 11 computers
best laptop
good business laptop
best small business laptop
best workstation
what is a good laptop to buy
computer docking station
docking station for laptop
computer desktop
laptop computer reviews
ultra laptop
computer sales
work laptop
business printer
best laptop review
computers for business
windows pc
laptop deals
professional laptops
top rated laptops
work tablet
workstation
computer tower
intel i7 processor
ubuntu laptop
windows computers
laptop docks
laptop with docking station
laser printers
10 best laptop computers
laptops on sale
touch screen monitor
30 inch monitor
color printer
computer for office
fastest laptop
4k laptop
14 inch laptop
desktop computer deals
laserjet printer
conference room tv
17 inch laptop
windows 10
quality laptops
desktop
Best Best best business laptop
laptop reviews
projection
touchscreen monitor
light laptops
computer for business
core i7
core i5
monitor
business laptop
core i9
power laptops
best business laptop 2020
all in one computer
tower computer
24 computer monitor",1
"dell wd19 docking station
dell computer
cheap desktop computer system
dell precision 5560 laptop
u2419h
vostro 3500
dell notebook pc
dell work laptop
vostro 5402
dell toner
dell notebook computer
dell docking station
dell d3100
dell laptop business
dell optiplex mini
dell inspiron laptops
dell wd19 130w
dell xps 15
buy dell laptop
latitude laptop
dell precision
microsoft office professional 2019
vostro
dell latitude docking station
dell sonicwall
refurbished dell computers
precision workstation
dell business account
wd19tb
dell wd19
dell Non-DCO 13
latitude battery
vostro desktop
dell precision 3551
dell support
dell workstation
latitude 7420
dell business laptop
dell u4320q
dell ultrasharp
dell vostro
optiplex 3080 micro
price dell laptop
dell d6000
precision docking
xps
dell desktop pc deals
dell precision laptop
dell computers monitors
dell xps
dell wd19tbs
dell vostro 3500
wd19tbs
dell laptop for business
optiplex
laptop dell core i5
dell computer screen
dell vostro laptop
dell latitude
dell precision 5550
Dell Tablet
computer dell gaming
dell inspiron
www dell com
cheap dell laptop
dell wireless mouse
vostro laptop
dell thunderbolt dock
vostro adapter
dell laptop battery dell
dell touchscreen laptop
dell latitude laptop
precision dell
u2720q
dell business credit
dell computer battery
dell mobile workstation
dell wd19tb
dell com business
Dell
p2422h
dell dock
p2721q
dell latitude 5520
dell.com
precision laptop
dell latitude 5000
power cord dell
dell latitude 7420
dell computers
dell optiplex
dell business
dell laptop
dell servers
dell desktop
u2721de
dell notebook
dell wd19dc docking station
dell docking stations
dell precision 7550
dell small business
latitude docking
dell laptops i5
dell laptops
dell for work
vostro 3500 laptop
dell warranty check
dell 9510
dell inc
s2721hsx
dell business pc
s2421hsx
inspiron
dell d3100 docking station
dell docking
dell latitude 5511
dell
dell optiplex 3080
dell optiplex 3080 micro
dell notebook laptop
dell desktop computers monitor",1
Development & Reactivation,1
Workstations,1
High-Medium IT,1
Accounting & Engineering,1
Consumer - Brand TV Retargeting,1
Dell Purchase Intent,1
In Market audience for Business Technology,1
Lookalike based off of DealFloodlight audience,1
EDU ABM,1
Custom Affinity List created to target entrepreneurs,1
Custom Affinity List created to target executives,1
Custom Affinity List created to target ITDMs,1
Lookalike based off of Category Floodlight audience,1
Lookalike based off of Deal Floodlight audience,1
EDU CRM,1
Cart page converter LAL,1
SLG CRM,1
SLG ABM,1
Dell Custom Intent,1
"Interests: Computers, laptops and computer brands",1
"Interests: Computers, laptops and computer brands. Behaviours: Engaged shoppers",1
"Interests: Computers, laptops and computer brands. Behaviours: Engaged shoppers. Employers: eBay, Lenovo, Amazon",1
"SB Interests/Behaviors: Entrepreneurship, Small Business",1
YouTube IM - Test Preparation,1
"SB Interests/Behaviors: Entrepreneurship, Small Business - Business decision makers",1
Interests: Computers; Behaviours: SB; Employwers: SB: Job Title: Indursry,1
"Interests: Computers, laptops and computer brands, Small business. Behaviours: Engaged shoppers",1
"Interests: Interior/Graphic design, photograph, illustration",1
"Interests: Games, Gaming consoles. Employers: PC Gamer",1
"Female - Job Seniorities: Management level roles. Small business size (2-200 employees). Job Titles: Owners, Entrepenuers, Senior job titles",1
YouTube Affinity - TV Lovers,1
YouTube Demo - Parents of Teens,1
YouTube Affinity - Credit Card Points,1
YouTube Demo - Advanced Degree Holder,1
IAS Context Control,1
IM - Computers & Accessories,1
Tech Enthusiast,1
Customer Intent Audience,1
C-suite/ITDM/BDM; co size 100+,1
Co size 500+ targeting filter,1
People whose shopping activities indicate they are likely to purchase Computers over $750,1
crm of MB IM,1
MB Core IM audience BDMs/ITDMs,1
ITDMs less than 100 employees,1
ItÂ’s a custom intent list that reach the people who are already searching for the product or services,1
"Google Audience based off In Market categories, Business Services and Business Tech.",1
People whose shopping activities indicate they are likely to purchase Computers over $500,1
IM - Accessories,1
"123Push > Consumer > Interest > Computers and Technology > Gadgets
#Home by Vendigi > Internet Service Providers
#Home by Vendigi > Smart Homes
123Push > Consumer > Interest > Computers
**Asterisks.com > Demographics > Age > Adult 18-24
**Asterisks.com > Demographics > Age > Adult 25-34",1
Demo audience,1
DV Consumer Electronics,1
DV Unbranded,1
IM - Laptops,1
IM - Desktops,1
IM - Consumer Electronics,1
Co size 100-500 targeting filter,1
College Graduates,1
SBDMs in market for laptops,1
LAL of Deals Converteres,1
3D Printing Affinity,1
Entrepreneurs,1
Executives,1
Business News Readers,1
Local News Readers,1
In Market for Enterprise Software,1
Business Professionals,1
Business Travelers,1
Avid Investors,1
Coffee Shop Regulars,1
In Market for Computer Servers,1
In Market for Internal Computer Networking Cards,1
Large Server Budget,1
CRM list of High/Medium IT Professionals,1
3P of Server Users,1
1st party CRM list consisting of past SB server purchasers,1
3P of Large Server Budget Users,1
LAL of Product Configurator Converters,1
LAL of Category Converters,1
Entertainment Apps,1
In Market for Desktop Computers,1
Lifestyle Amazon Business Customer Lookalikes,1
LIfestyle Amazon Purchaser Card Users,1
Lifestyle Small Business Owners and Entrepreneurs,1
In Market for Business & Office Software,1
In Market for Internal Hard Drives,1
ISG Custom Affinity,1
Enrolled IT Consultants,1
DEN Converter Retargeting,1
DFE Custom Affinity,1
LAL of DFS Homepage Converters,1
LAL of DFS Converters,1
DFS Contextual Keywords,1
In Market for Computer Uninterruptible Power Supply Units,1
Dell Branded Keywords,1
In Market for Business & Productivity Software,1
In Market for Business Technology,1
In Market for Computer Accessories & Components,1
Historical Performance Apps,1
News Apps,1
SBDM high spenders,1
In market for Gaming Laptops,1
PC Buyer,1
Purchase Intent,1
Past Purchasers,1
DV contextual segment based off of Hardcore Gaming keyword list,1
DV contextual segment based off of Casual Gaming keyword list,1
Esports Enthusiasts,1
Gaming - Brand TV targeting,1
College Students,1
FY24Q1 GAM AUD Pixel,1
"FY23Q4 GAM OLV Exposure Segment
FY23Q3 GAM OLV Exposure Segment
FY23Q2 GAM OLV Exposures
FY24Q1 GAM OLV Pixel",1
"Fy23Q2 GAM CTV Exposure Segment
FY23Q3 GAM CTV Exposure Segment
FY23Q4 GAM CTV Exposure Segment
FY24Q1 GAM CTV Pixel",1
Millenials,1
Demo targeting 25-54,1
Confirmation page converter LAL,1
High Income Parents,1
US SBDMs,1
SOHO and Telecommuters,1
High Gaming Propensity,1
LAL Past Purchasers,1
Linear TV Apps,1
LAL Purchase Intent,1
Sports Apps,1
Server User,1
Past Server Purchaser,1
DGR,1
Casual and Social Gamers,1
Console Gamers,1
Custom Affinity - Casual Gamers,1
Sports Game Fans,1
Esports Fans,1
PC Gamers,1
Shooter Game Fans,1
Fans of New & Upcoming Video Games,1
Roleplaying Game Fans,1
Adventure & Strategy Game Fans,1
High Gaming Propensity LAL,1
Hardcore Gamers LAL,1
LAL PC Buyer,1
Custom Affinity - Hardcore Gamers,1
