,Taxonomy,Count,Audiences,Audience_Id,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,DataProvider
51,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4948078/*Play Video Games Connected to Internet*/",1,targeting-gamingusers_us-csbo-gseries_3pofftheshelf_neustar-180-aiq-crp-strt_im/in,46273665,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4948078",*Play Video Games Connected to Internet*,,,,,adadvisor
52,"36/*Datonics Segments*/,45167710/*Electronics > Computers > HP*/",1,targeting-competitorconquest_ca-csbo-gseries_3pofftheshelf_neustar-ada-dat_na,46447000,36,*Datonics Segments*,",45167710",*Electronics , Computers , HP*,,,
53,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949610/*Small office or Home office Business Owners*/",1,targeting-sohoandtelecommuters_us-csbo-sb_3pofftheshelf_neustar-astrsk-expr_fi,46273664,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949610",*Small office or Home office Business Owners*,,,,,adadvisor
54,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4948081/*Plays Action/Adventure Video Games Most*/",1,targeting-gamingusers_us-csbo-gseries_3pofftheshelf_neustar-180-aiq-crp-strt_im/in,46273665,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4948081",*Plays Action,Adventure Video Games Most*,,,,adadvisor
55,"12160/*Neustar AdAdvisor - Business*/,2965207/*Company Size: 500+ employees*/",1,QC_test_JC,46094143,12160,*Neustar AdAdvisor - Business*,",2965207",*Company Size: 500+ employees*,,,,,adadvisor
56,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4948020/*HH Subscribes to Cable TV*/",1,targeting-tvlovers_us-csbo-con_3pofftheshelf_neustar-123_be,46273657,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4948020",*HH Subscribes to Cable TV*,,,,,adadvisor
57,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4948443/*Saw Drama Movies*/",1,targeting-tvlovers_us-csbo-con_3pofftheshelf_neustar-123_be,46273657,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4948443",*Saw Drama Movies*,,,,,adadvisor
58,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,29074797/*Watch Network TV Primetime-Comedy*/",1,targeting-tvlovers_us-csbo-con_3pofftheshelf_neustar-123_be,46273657,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",29074797",*Watch Network TV Primetime-Comedy*,,,,,adadvisor
59,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949609/*Company Size: 5-19 employees*/",1,test-telecommutersandsoho_us-csbo-sb_3pofftheshelf_neustar-123-expr_fi,46271420,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949609",*Company Size: 5-19 employees*,,,,,adadvisor
60,"36489/*Dell*/,46195123/*Control_dfc6vuk7tkj*/",1,control-na_us-ce_1pcrm_aiqcrm-cip_na_dfc6vuk7tkj,46199449,36489,*Dell*,",46195123",*Control_dfc6vuk7tkj*,,,,,
61,"36489/*Dell*/,46195122/*Test_dcksi8jk3dk*/",1,test-na_us-ce_1pcrm_aiqcrm-cip_na_dcksi8jk3dk,46199448,36489,*Dell*,",46195122",*Test_dcksi8jk3dk*,,,,,
62,"36489/*Dell*/,46158501/*B2B Business Unit Segment*/",1,test-ceim_us-ce_1pcrm_aiqcrm-cip_na,46167016,36489,*Dell*,",46158501",*B2B Business Unit Segment*,,,,,
63,"25752/*180byTwo_DataDirectory*/,30867516/*180byTwo from Anteriad > B2B > Decision Makers*/",1,QC_test_JC,46094143,25752,*180byTwo_DataDirectory*,",30867516",*180byTwo from Anteriad , B2B , Decision Makers*,,,180bytwo
64,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4947845/*Uses Games Apps on Smartphone*/",1,targeting-gamingusers_us-csbo-gseries_3pofftheshelf_neustar-180-aiq-crp-strt_im/in,46273665,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4947845",*Uses Games Apps on Smartphone*,,,,,adadvisor
65,"25752/*180byTwo_DataDirectory*/,30866833/*180byTwo from Anteriad > ABM > Top Companies > IBM*/",1,test-enrique,46078986,25752,*180byTwo_DataDirectory*,",30866833",*180byTwo from Anteriad , ABM , Top Companies , IBM*,,180bytwo
66,"25752/*180byTwo_DataDirectory*/,30866846/*180byTwo from Anteriad > ABM > Top Companies > Intel*/",1,test-enrique,46078986,25752,*180byTwo_DataDirectory*,",30866846",*180byTwo from Anteriad , ABM , Top Companies , Intel*,,180bytwo
67,"37656/*Clickagy Public Taxonomy*/,20946441/*In-Market > Electronics > Computers > Desktops*/",1,Test-NA-Computers and Laptops-IM_us-csbo-con_3p off-the-shelf_Neustar-Clickagy,45957793,37656,*Clickagy Public Taxonomy*,",20946441",*In-Market , Electronics , Computers , Desktops*,,clickagy
68,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4947862/*Owns Apple Computer*/",1,TEST - Computer Interest,45954177,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4947862",*Owns Apple Computer*,,,,,adadvisor
69,"36489/*Dell*/,45101641/*Test Segment*/",1,Test Seg,45950816,36489,*Dell*,",45101641",*Test Segment*,,,,,
70,"12160/*Neustar AdAdvisor - Business*/,2965213/*Small office or Home office Business Owners*/",1,targeting-soho_us-csbo-sb_3pofftheshelf_neustar-ada_em/fi,46484804,12160,*Neustar AdAdvisor - Business*,",2965213",*Small office or Home office Business Owners*,,,,,adadvisor
71,"12160/*Neustar AdAdvisor - Business*/,2965252/*SOHO 2- Real Estate Services*/",1,targeting-soho_us-csbo-sb_3pofftheshelf_neustar-ada_em/fi,46484804,12160,*Neustar AdAdvisor - Business*,",2965252",*SOHO 2- Real Estate Services*,,,,,adadvisor
72,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,29074802/*I Often Go on Long Car Trips for Vacation*/",1,targeting-travelconsumers_us-csbo-con_3pofftheshelf_neustar-*actgr-acxm-alkaud-flb-skyd_de,46273659,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",29074802",*I Often Go on Long Car Trips for Vacation*,,,,,adadvisor
73,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,29074643/*Ads Help Me Pick Products For My Kids*/",1,targeting-travelconsumers_us-csbo-con_3pofftheshelf_neustar-*actgr-acxm-alkaud-flb-skyd_de,46273659,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",29074643",*Ads Help Me Pick Products For My Kids*,,,,,adadvisor
74,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,9774476/*Payment Methods for Leisure Travel:Online Bill Pay*/",1,targeting-travelconsumers_us-csbo-con_3pofftheshelf_neustar-*actgr-acxm-alkaud-flb-skyd_de,46273659,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",9774476",*Payment Methods for Leisure Travel:Online Bill Pay*,,,,,adadvisor
75,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949619/*Scientists and Researchers*/",1,targeting-travelconsumers_us-csbo-con_3pofftheshelf_neustar-*actgr-acxm-alkaud-flb-skyd_de,46273659,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949619",*Scientists and Researchers*,,,,,adadvisor
76,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,7374172/*Own or Play Video Games*/",1,targeting-gamingusers_us-csbo-gseries_3pofftheshelf_neustar-180-aiq-crp-strt_im/in,46273665,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",7374172",*Own or Play Video Games*,,,,,adadvisor
77,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,9774557/*Internet Video/Music/Tv Set-Brands Owned:Video Game System*/",1,targeting-gamingusers_us-csbo-gseries_3pofftheshelf_neustar-180-aiq-crp-strt_im/in,46273665,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",9774557",*Internet Video,Music,Tv Set-Brands Owned:Video Game System*,,,adadvisor
78,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,29074749/*Watch Network TV Primetime-Game Show/Contest*/",1,targeting-gamingusers_us-csbo-gseries_3pofftheshelf_neustar-180-aiq-crp-strt_im/in,46273665,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",29074749",*Watch Network TV Primetime-Game Show,Contest*,,,,adadvisor
79,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,29074807/*I Need Games On Computer with Top Line Graphics*/",1,targeting-gamingusers_us-csbo-gseries_3pofftheshelf_neustar-180-aiq-crp-strt_im/in,46273665,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",29074807",*I Need Games On Computer with Top Line Graphics*,,,,,adadvisor
80,"33495/*Reklaim Data Directory Taxonomy*/,43425287/*Reklaim > Demographic > Age > 18-54*/",1,targeting-agedemo18to54_us-csbo-con_3pofftheshelf_neustar-rkl_be/de,46459860,33495,*Reklaim Data Directory Taxonomy*,",43425287",*Reklaim , Demographic , Age , 18-54*,,
81,"33280/*Neustar AdAdvisor Identity Planner Audiences - ElementOne*/,4947189/*High Income Established Families*/",1,targeting-sohoandtelecommuters_us-csbo-sb_3pofftheshelf_neustar-astrsk-expr_fi,46273664,33280,*Neustar AdAdvisor Identity Planner Audiences - ElementOne*,",4947189",*High Income Established Families*,,,,,adadvisor
82,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4946616/*I Try Keep Up/Developments in Technology*/",1,targeting-serverusers_us-csbo-sb_3pofftheshelf_neustar-123-180-zfd_be/im,46273663,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4946616",*I Try Keep Up,Developments in Technology*,,,,adadvisor
83,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,33447037/*HH Uses Home Automation(Controlling Home From Anywhere)*/",1,targeting-serverusers_us-csbo-sb_3pofftheshelf_neustar-123-180-zfd_be/im,46273663,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",33447037",*HH Uses Home Automation(Controlling Home From Anywhere)*,,,,,adadvisor
84,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949572/*SMALL 35- Small Businesses*/",1,targeting-sbdmconsumers_us-csbo-sb_3pofftheshelf_neustar-123-180-33a_em/in,46273660,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949572",*SMALL 35- Small Businesses*,,,,,adadvisor
85,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949581/*SOHO 11- Business Services*/",1,targeting-sbdmconsumers_us-csbo-sb_3pofftheshelf_neustar-123-180-33a_em/in,46273660,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949581",*SOHO 11- Business Services*,,,,,adadvisor
86,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949665/*IT Decision Maker*/",1,targeting-sbdmconsumers_us-csbo-sb_3pofftheshelf_neustar-123-180-33a_em/in,46273660,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949665",*IT Decision Maker*,,,,,adadvisor
87,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,29074767/*Business Purchase Decision-Involved ($500k+) in the Last 12 Months*/",1,targeting-sbdmconsumers_us-csbo-sb_3pofftheshelf_neustar-123-180-33a_em/in,46273660,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",29074767",*Business Purchase Decision-Involved ($500k+) in the Last 12 Months*,,,,,adadvisor
88,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,29074887/*Business Purchase Decision-Involved ($10k-$100k) in the Last 12 Months*/",1,targeting-sbdmconsumers_us-csbo-sb_3pofftheshelf_neustar-123-180-33a_em/in,46273660,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",29074887",*Business Purchase Decision-Involved ($10k-$100k) in the Last 12 Months*,,,,,adadvisor
89,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,29074896/*I Buy Technology that Connects To Products I Have*/",1,targeting-sbdmconsumers_us-csbo-sb_3pofftheshelf_neustar-123-180-33a_em/in,46273660,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",29074896",*I Buy Technology that Connects To Products I Have*,,,,,adadvisor
90,"12894/*Neustar AdAdvisor Consumer Audiences*/,6919037/*Retail > Shopper Segments > Budget*/",1,targeting-travelconsumers_us-csbo-con_3pofftheshelf_neustar-*actgr-acxm-alkaud-flb-skyd_de,46273659,12894,*Neustar AdAdvisor Consumer Audiences*,",6919037",*Retail , Shopper Segments , Budget*,,,adadvisor
91,"26303/*Alliant DD Taxonomy*/,4932086/*College Graduates*/",1,targeting-collegegraduates_us-csbo-con_3pofftheshelf_neustar-180-ads-alnt_de/im,46459859,26303,*Alliant DD Taxonomy*,",4932086",*College Graduates*,,,,,
92,"23985/*33Across Taxonomy*/,9000051/*Sports Gaming Fanatics*/",1,targeting-gamingfanatics_us-csbo-gseries_3pofftheshelf_neustar-33a-msc_be/in,46460001,23985,*33Across Taxonomy*,",9000051",*Sports Gaming Fanatics*,,,,,33across
93,"12894/*Neustar AdAdvisor Consumer Audiences*/,44997617/*Education > Recent Graduates > All Graduates Major Undecided*/",1,targeting-collegegraduatesindividuals_us-csbo-con_3pofftheshelf_neustar-180-ads_co/de,46459998,12894,*Neustar AdAdvisor Consumer Audiences*,",44997617",*Education , Recent Graduates , All Graduates Major Undecided*,,,adadvisor
94,"12160/*Neustar AdAdvisor - Business*/,2965411/*SMALL 10- Business Services*/",1,targeting-sbdmhighspenders_us-csbo-sb_3pofftheshelf_neustar-ada_be/co/in,46475362,12160,*Neustar AdAdvisor - Business*,",2965411",*SMALL 10- Business Services*,,,,,adadvisor
95,"12894/*Neustar AdAdvisor Consumer Audiences*/,44997218/*Retail > Shopping > Online Purchase PC & Digital Games Last 3Month*/",1,targeting-pcbuyer_us-csbo-con_1pcrm_neustar-ada_na,46475367,12894,*Neustar AdAdvisor Consumer Audiences*,",44997218",*Retail , Shopping , Online Purchase PC & Digital Games Last 3Month*,,,adadvisor
96,"33281/*Neustar AdAdvisor Identity Planner Audiences - Business*/,4949574/*SMALL 5- Real Estate Agents And Managers*/",1,targeting-sbdm_us-csbo-sb_3pofftheshelf_neustar-ada_de/im,46475336,33281,*Neustar AdAdvisor Identity Planner Audiences - Business*,",4949574",*SMALL 5- Real Estate Agents And Managers*,,,,,adadvisor
97,"12894/*Neustar AdAdvisor Consumer Audiences*/,2996460/*Education > Currently Enrolled > Currently Full/Part-Time College Student*/",1,targeting-collegestudents_us-csbo-con_3pofftheshelf_neustar-ada_de/im,46475365,12894,*Neustar AdAdvisor Consumer Audiences*,",2996460",*Education , Currently Enrolled , Currently Full,Part-Time College Student*,,adadvisor
98,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4948391/*Currently Full-Time College Student*/",1,targeting-collegestudents_us-csbo-con_3pofftheshelf_neustar-ada_de/im,46475365,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4948391",*Currently Full-Time College Student*,,,,,adadvisor
99,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4946824/*Visit Dell.com in the Last 30 Days*/",1,targeting-dellcomputerconquesting_us-csbo-sb_3pofftheshelf_neustar-ada_fi/im,46475364,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4946824",*Visit Dell.com in the Last 30 Days*,,,,,adadvisor
100,"12894/*Neustar AdAdvisor Consumer Audiences*/,40503414/*Computers & Electronics > Use Laptop/Notebook/Netbook for Home Automation*/",1,targeting-sbdminmarketforlaptops_us-csbo-csb_3pofftheshelf_neustar-ada_be/em/im,46475363,12894,*Neustar AdAdvisor Consumer Audiences*,",40503414",*Computers & Electronics , Use Laptop,Notebook,Netbook for Home Automation*,,adadvisor
101,"12160/*Neustar AdAdvisor - Business*/,2965369/*MICRO 3- Real Estate Agents And Managers*/",1,targeting-sbdmhighspenders_us-csbo-sb_3pofftheshelf_neustar-ada_be/co/in,46475362,12160,*Neustar AdAdvisor - Business*,",2965369",*MICRO 3- Real Estate Agents And Managers*,,,,,adadvisor
102,"12160/*Neustar AdAdvisor - Business*/,2965437/*SMALL 35- Small Businesses*/",1,targeting-sbdmhighspenders_us-csbo-sb_3pofftheshelf_neustar-ada_be/co/in,46475362,12160,*Neustar AdAdvisor - Business*,",2965437",*SMALL 35- Small Businesses*,,,,,adadvisor
103,"25752/*180byTwo_DataDirectory*/,44579680/*180byTwo from Anteriad > Truthset Scored > B2C > Demographic > Education > College Graduate Degree*/",1,targeting-collegegraduatesindividuals_us-csbo-con_3pofftheshelf_neustar-180-ads_co/de,46459998,25752,*180byTwo_DataDirectory*,",44579680",*180byTwo from Anteriad , Truthset Scored , B2C , Demographic , Education > College Graduate Degree*/,180bytwo
104,"33466/*Neustar AdAdvisor Identity Planner Audiences - Propensity*/,4946617/*Love to Buy New Gadgets and Appliances*/",1,targeting-sbdmhighspenders_us-csbo-sb_3pofftheshelf_neustar-ada_be/co/in,46475362,33466,*Neustar AdAdvisor Identity Planner Audiences - Propensity*,",4946617",*Love to Buy New Gadgets and Appliances*,,,,,adadvisor
105,"12894/*Neustar AdAdvisor Consumer Audiences*/,6919276/*Computers & Electronics > Cell/Smartphones/Tablets > Uses Games Apps on Smartphone*/",1,targeting-gamingfanatics_us-csbo-gseries_3pofftheshelf_neustar-ada_be/in,46475335,12894,*Neustar AdAdvisor Consumer Audiences*,",6919276",*Computers & Electronics , Cell,Smartphones,Tablets , Uses Games Apps on Smartphone*/,adadvisor
106,"12894/*Neustar AdAdvisor Consumer Audiences*/,40503004/*Entertainment > Downloaded/Streamed From Internet > Internet Video/Music/Tv Set-Brands Owned: Video Game System*/",1,targeting-gamingfanatics_us-csbo-gseries_3pofftheshelf_neustar-ada_be/in,46475335,12894,*Neustar AdAdvisor Consumer Audiences*,",40503004",*Entertainment , Downloaded,Streamed From Internet , Internet Video,Music/Tv Set-Brands Owned: Video Game System*/,adadvisor
107,"12894/*Neustar AdAdvisor Consumer Audiences*/,44997320/*Computers & Electronics > Video Game Console > Type of Video Game System Own/Play Nintendo Switch*/",1,targeting-gamingfanatics_us-csbo-gseries_3pofftheshelf_neustar-ada_be/in,46475335,12894,*Neustar AdAdvisor Consumer Audiences*,",44997320",*Computers & Electronics , Video Game Console , Type of Video Game System Own,Play Nintendo Switch*,,adadvisor
108,"12894/*Neustar AdAdvisor Consumer Audiences*/,40503008/*Computers & Electronics > Video Game Console > Type of Video Game System Own/Play Playstation 4*/",1,targeting-usgaminggamer_us-csbo-gseries_3pofftheshelf_neustar-ada_be/im/in,46475334,12894,*Neustar AdAdvisor Consumer Audiences*,",40503008",*Computers & Electronics , Video Game Console , Type of Video Game System Own,Play Playstation 4*,,adadvisor
109,"12894/*Neustar AdAdvisor Consumer Audiences*/,44997578/*Web Browsing > Visited WebSite: Gamer Network Last 3Month*/",1,targeting-usgaminggamer_us-csbo-gseries_3pofftheshelf_neustar-ada_be/im/in,46475334,12894,*Neustar AdAdvisor Consumer Audiences*,",44997578",*Web Browsing , Visited WebSite: Gamer Network Last 3Month*,,,,adadvisor
110,"12894/*Neustar AdAdvisor Consumer Audiences*/,6919502/*Hobbies & Interests > Sports Interests > Major Lg Baseball-Very Interested-Last 12M*/",1,targeting-esportsenthusiasts_us-csbo-gseries_3pofftheshelf_neustar-ada_be/in,46475333,12894,*Neustar AdAdvisor Consumer Audiences*,",6919502",*Hobbies & Interests , Sports Interests , Major Lg Baseball-Very Interested-Last 12M*,,,adadvisor
